AD,2D,3D,4D,5D,6D,7D,8D,9D,10D,JD,QD,KD,AH,2H,3H,4H,5H,6H,7H,8H,9H,10H,JH,QH,KH,AC,2C,3C,4C,5C,6C,7C,8C,9C,10C,JC,QC,KC,AS,2S,3S,4S,5S,6S,7S,8S,9S,10S,JS,QS,KS,
QD,5H,6D,JD,4S,10C,8H,5D,6C,10D,JC,2S,6H,2C,9S,4D,4H,2D,KD,6S,3C,5C,10S,9H,3D,10H,JS,KC,8S,AD,4C,7S,9D,3H,AH,QH,AS,7D,QS,AC,8C,5S,QC,2H,JH,7H,7C,3S,KH,KS,8D,9C,
4S,10S,8C,AS,10C,KD,JC,2S,9C,6S,7D,AC,AD,5S,3H,8D,JD,KH,9H,5H,QH,KC,5D,10D,10H,8H,2H,5C,9D,4C,4H,7S,2D,9S,6C,AH,QS,7H,7C,4D,QD,3C,JH,6H,2C,3D,QC,JS,KS,6D,8S,3S,
KD,2H,4S,8C,4C,KH,7C,AS,4H,JS,8S,QC,3C,5C,3H,9S,5H,9D,8H,6D,AH,KS,10D,2C,10H,JH,6C,6H,AC,8D,3S,5D,3D,KC,QH,5S,AD,4D,7H,9C,JD,9H,6S,JC,2D,7S,10C,7D,10S,QD,QS,2S,
8D,5H,9S,6D,QC,KS,10D,9D,3S,QS,2D,5C,8H,3H,4S,AS,5S,8C,AH,7S,4H,5D,6H,4C,7C,QD,10C,9H,4D,KD,6C,JD,KH,QH,AD,2S,AC,7D,KC,JS,JC,2C,8S,JH,6S,3D,9C,10S,2H,3C,10H,7H,
QD,4H,8D,JH,AS,AH,KS,2D,3H,6C,5H,9C,KC,6S,KD,3C,JS,4C,6H,7C,4D,3D,JC,AD,10H,7S,10D,5C,8H,8C,QS,QC,AC,5D,7D,8S,QH,2S,KH,9H,9S,10S,2H,JD,3S,6D,4S,7H,10C,9D,5S,2C,
AH,8D,QH,5D,3D,8H,JC,2C,JS,7H,6H,6D,9S,KC,KS,8S,QC,7C,10S,KH,AC,AD,2H,5C,9H,3C,JH,4S,9C,10D,10C,5H,3S,4D,AS,7S,6C,2D,QS,4C,10H,6S,JD,9D,KD,7D,5S,2S,8C,QD,3H,4H,
7H,9H,QD,4S,AH,10S,9D,8C,6D,7D,4C,9S,AC,JC,3D,JS,5C,10H,2D,8S,3C,KC,AD,QH,3H,10D,8H,QS,2S,KD,4H,JD,KH,AS,6C,2C,3S,5H,4D,QC,KS,10C,8D,JH,5D,5S,7C,7S,2H,6H,9C,6S,
JD,9H,QH,4S,JH,JS,10D,QD,3S,3D,2D,9S,6C,9C,2H,5D,10S,8S,KD,6S,4D,9D,2C,7D,6D,3H,8H,5C,7S,10H,7C,2S,KS,QC,AD,AS,QS,JC,AH,8D,5H,KH,4C,4H,AC,8C,5S,3C,KC,6H,7H,10C,
3D,QH,AD,7S,10H,10S,4D,2S,5C,7D,AH,8D,8S,4H,5D,QC,3C,KC,2C,7H,9D,9S,QS,JC,4S,QD,5H,JD,8H,6S,KH,4C,9C,9H,5S,3S,JH,10D,6H,JS,6C,AS,3H,6D,10C,8C,KS,2D,7C,2H,KD,AC,
QS,4C,AS,8C,9D,QH,7H,5S,9H,3C,7S,10D,JC,7D,5D,JD,4H,2H,3H,2S,8H,8D,5H,2D,QC,JS,4S,KD,7C,6D,10H,KC,AC,3D,2C,9S,AH,3S,QD,KS,AD,10C,KH,9C,10S,6C,JH,5C,6H,4D,8S,6S,
2S,10D,AD,QH,7H,3H,8C,10C,4H,JD,KC,3S,2H,4D,9H,QS,2C,4S,AC,8D,3D,7D,KD,5D,5H,5C,6H,3C,10H,5S,9S,2D,KH,AH,7C,KS,JS,6D,9D,AS,7S,8S,6C,JC,4C,9C,QD,10S,6S,QC,JH,8H,
4H,9S,JS,KC,QS,8S,4D,2H,6S,3D,JD,10S,10H,3C,QD,7C,7S,KH,6C,8D,5C,10C,9H,JH,AH,8H,5H,2D,KD,2S,6H,JC,AC,4C,7D,3S,4S,AD,3H,6D,8C,KS,AS,QH,QC,9C,7H,9D,2C,10D,5S,5D,
2H,QD,2D,5D,8D,4H,9D,4S,KD,6D,9H,8H,JD,AS,8C,2C,AH,JH,3C,8S,JS,AC,6H,3S,4C,5C,6C,4D,9S,KS,KC,6S,5S,10C,7S,QH,3H,10D,10S,9C,7D,JC,QS,7C,QC,5H,3D,KH,7H,AD,10H,2S,
3C,10D,2S,JD,2H,AD,8C,6C,AC,3S,JH,9D,AH,10H,QD,QH,5H,4C,3H,JS,7C,QS,6S,QC,3D,9H,7S,9C,10S,JC,6H,2D,8D,10C,2C,5D,KS,KC,KD,4S,8S,5C,4H,6D,9S,7H,8H,AS,5S,KH,7D,4D,
7C,7S,5C,10C,KS,2S,4H,5D,9S,6H,2D,4S,QS,10S,6C,2H,QH,9D,5S,4C,AC,3S,7D,JS,4D,QC,KC,5H,AS,JD,JC,QD,3C,8S,8H,3H,JH,AD,8C,2C,10D,9C,10H,KH,3D,KD,6S,6D,AH,8D,7H,9H,
